靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
COID	Name	MDATE	CLOSE
2330   	縩筿       	20140225	   91.98
2408   	玭ㄈ       	20140225	   38.23
2357   	地河         	20140225	  215.90
3008   	ミ       	20140225	 1146.94
3481   	竤承         	20140225	    9.06
2412   	い地筿       	20140225	   72.26
2308   	笷筿       	20140225	  136.04
2327   	瓣エ         	20140225	   39.51
2317   	翬         	20140225	   65.61
2474   	Θ         	20140225	  191.03
1101   	猟         	20140226	   34.32
1216   	参         	20140226	   37.42
1301   	鹅         	20140226	   63.64
1402   	环狥穝       	20140226	   25.05
2002   	い葵         	20140226	   21.30
2105   	タ穝         	20140226	   63.08
2912   	参禬       	20140226	  153.69
9904   	腳Θ         	20140226	   33.92
6505   	鹅て       	20140226	   63.68
2303   	羛筿         	20140226	   10.14
2330   	縩筿       	20140226	   91.55
2408   	玭ㄈ       	20140226	   38.87
2357   	地河         	20140226	  215.53
3008   	ミ       	20140226	 1225.88
3481   	竤承         	20140226	    9.19
2412   	い地筿       	20140226	   72.26
2308   	笷筿       	20140226	  137.70
2327   	瓣エ         	20140226	   38.97
2317   	翬         	20140226	   66.24
2474   	Θ         	20140226	  194.50
1101   	猟         	20140227	   34.86
1216   	参         	20140227	   37.87
1301   	鹅         	20140227	   63.23
1402   	环狥穝       	20140227	   25.37
2002   	い葵         	20140227	   21.42
2105   	タ穝         	20140227	   63.32
2912   	参禬       	20140227	  154.93
9904   	腳Θ         	20140227	   33.26
6505   	鹅て       	20140227	   64.09
2303   	羛筿         	20140227	   10.10
2330   	縩筿       	20140227	   91.98
2408   	玭ㄈ       	20140227	   38.07
2357   	地河         	20140227	  215.16
3008   	ミ       	20140227	 1249.09
3481   	竤承         	20140227	    9.10
2412   	い地筿       	20140227	   72.73
2308   	笷筿       	20140227	  140.20
2327   	瓣エ         	20140227	   38.97
2317   	翬         	20140227	   66.56
2474   	Θ         	20140227	  191.03
1101   	猟         	20140303	   34.39
1216   	参         	20140303	   37.38
1301   	鹅         	20140303	   62.41
1402   	环狥穝       	20140303	   25.37
2002   	い葵         	20140303	   21.34
2105   	タ穝         	20140303	   62.76
2912   	参禬       	20140303	  152.45
9904   	腳Θ         	20140303	   33.88
6505   	鹅て       	20140303	   63.35
2303   	羛筿         	20140303	   10.27
2330   	縩筿       	20140303	   91.98
2408   	玭ㄈ       	20140303	   37.03
2357   	地河         	20140303	  212.94
3008   	ミ       	20140303	 1281.60
3481   	竤承         	20140303	    8.93
2412   	い地筿       	20140303	   72.50
2308   	笷筿       	20140303	  138.95
2327   	瓣エ         	20140303	   38.97
2317   	翬         	20140303	   65.85
2474   	Θ         	20140303	  193.20
1101   	猟         	20140304	   33.56
1216   	参         	20140304	   37.19
1301   	鹅         	20140304	   61.83
1402   	环狥穝       	20140304	   24.97
2002   	い葵         	20140304	   21.17
2105   	タ穝         	20140304	   62.76
2912   	参禬       	20140304	  153.28
9904   	腳Θ         	20140304	   34.13
6505   	鹅て       	20140304	   63.02
2303   	羛筿         	20140304	   10.18
2330   	縩筿       	20140304	   91.55
2408   	玭ㄈ       	20140304	   34.47
2357   	地河         	20140304	  212.57
3008   	ミ       	20140304	 1281.60
3481   	竤承         	20140304	    8.77
2412   	い地筿       	20140304	   72.18
2308   	笷筿       	20140304	  135.62
2327   	瓣エ         	20140304	   38.56
2317   	翬         	20140304	   65.61
2474   	Θ         	20140304	  191.03
